symbol,name,cmc_rank,price_usd,market_cap_usd,volume_24h_usd,pct_1h,pct_24h,pct_7d,circulating_supply,last_updated,timestamp_snapshot
HBAR,Hedera,25,0.08505296266995063,3684559518.874714,68203188.86818784,0.05568337,-0.66353809,-4.0390969,43320766299.14358,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
HONEY,Hivemapper,932,0.0018016213817319776,10347273.960305916,527035.80243323,-0.0255211,-5.03414893,-16.09366166,5743312143.841581,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
ILV,Illuvium,528,4.225439045425426,31001144.34975374,10203819.32949994,-0.67938408,-1.97665734,13.58511427,7336786.54844552,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
IMX,Immutable,106,0.14620175985102762,292403519.7020553,36174535.64741036,1.10616651,4.85690654,6.06375335,2000000000,2026-04-13T16:58:00.000Z,2026-04-13T17:00:37.956Z
JTO,Jito,153,0.32820930954422844,150496365.482427,55068239.91156191,1.05374105,9.51785086,19.22861274,458537771.8,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
JUP,Jupiter,77,0.16404220821625404,582486935.6912478,20839942.7874573,0.65884269,2.82319263,0.35822795,3550835739.32,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
KLON,Klondike Finance,,,,0,0,6.3214922,-9.93044712,0,2021-06-14T09:45:23.000Z,2026-04-13T17:00:37.956Z
KMNO,Kamino,200,0.020081787148037704,87795927.56819154,6639695.64778135,-0.22335564,0.41729613,12.14527145,4371918043,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
LDO,Lido DAO,114,0.3160954075041414,268425108.90141678,54972344.56242432,1.85740845,0.85185879,-2.05774666,849190157.5567812,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
LPT,Livepeer,182,2.0573196320047162,102226061.69069888,15650507.87131931,0.21697238,0.02100926,-0.82803277,49688954.55058027,2026-04-13T16:59:00.000Z,2026-04-13T17:00:37.956Z
